configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.joda.time.chrono.GJMonthOfYearDateTimeField,BRANCH,1.0,5,20,1.0,6,6,6,7,6,6,50,12230,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.JulianChronology,BRANCH,0.8636363636363636,10,28,0.3656387665198238,44,28,19,45,19,17,16115,38824,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.LimitChronology,BRANCH,0.008928571428571428,1,1,0.0,112,1,54,2,53,1,41468,38464,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.ZonedChronology,BRANCH,0.38064516129032255,47,171,0.1171993911719939,155,59,67,84,66,46,9515,44276,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTime,BRANCH,0.9470588235294117,122,418,0.6083333333333333,170,160,127,218,127,110,4872,60777,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTimeUtils,BRANCH,0.6825396825396826,22,39,0.5037037037037037,63,43,31,93,31,31,6635,43424,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeFormat,BRANCH,0.7472766884531591,57,85,0.054313099041533544,459,306,36,178,36,35,7208,93037,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeFormatter,BRANCH,0.5315315315315315,34,177,0.24691358024691357,111,56,50,93,49,44,6782,44547,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.DateTimeParserBucket,BRANCH,0.2815533980582524,12,30,0.10810810810810811,103,29,35,57,35,10,16329,39651,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.ISODateTimeFormat,BRANCH,0.5538461538461539,72,143,0.10900473933649289,325,180,119,168,119,60,4428,49054,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.format.PeriodFormatter,BRANCH,1.0,17,85,0.5111111111111111,33,33,19,53,19,19,6476,30865,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.tz.UTCProvider,BRANCH,1.0,3,6,0.75,4,4,3,6,3,3,50,5024,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.convert.DateConverter,BRANCH,1.0,1,4,1.0,3,3,3,4,3,3,50,12200,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicFixedMonthChronology,BRANCH,0.875,12,29,0.7125506072874493,24,18,15,27,15,12,7088,42802,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicMonthOfYearDateTimeField,BRANCH,0.9420289855072463,23,91,0.649812734082397,69,64,18,123,18,16,9946,46160,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,BRANCH,0.8888888888888888,10,56,0.6090909090909091,18,16,13,21,13,12,18359,40227,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.BasicYearDateTimeField,BRANCH,0.9583333333333334,16,66,0.5631067961165048,24,21,19,39,19,16,45391,38314,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.EthiopicChronology,BRANCH,0.8611111111111112,10,24,0.7023809523809523,36,18,14,26,14,11,16618,40037,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.GJDayOfWeekDateTimeField,BRANCH,0.9090909090909091,7,40,1.0,11,9,11,11,11,9,81483,37871,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.GJMonthOfYearDateTimeField,BRANCH,1.0,5,25,0.8333333333333334,6,6,6,7,6,6,50,14235,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.JulianChronology,BRANCH,0.8636363636363636,9,20,0.4713656387665198,44,29,19,41,19,17,19475,39857,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.LimitChronology,BRANCH,0.008928571428571428,1,1,0.0,112,1,54,2,53,1,34169,37259,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.chrono.ZonedChronology,BRANCH,0.43870967741935485,50,245,0.182648401826484,155,68,67,124,66,50,11219,43097,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.convert.CalendarConverter,BRANCH,0.7692307692307693,4,16,0.13333333333333333,13,10,5,20,5,5,25672,39308,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTime,BRANCH,0.9529411764705882,114,363,0.6694444444444444,170,156,127,218,127,107,6146,54584,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.joda.time.DateTimeUtils,BRANCH,0.7142857142857143,29,58,0.5259259259259259,63,45,31,95,31,31,6869,45021,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
